left_arm_angle,right_arm_angle,leg_spread_angle,label,source
165.32806,155.05667,58.01077,jack_out,10
174.0051,126.883354,63.470234,jack_out,10
135.0605,115.974106,62.53186,jack_out,10
136.72554,114.07505,71.28432,jack_out,10
164.7549,123.36273,70.52022,jack_out,10
158.44559,145.4244,69.577415,jack_out,10
153.46503,158.06157,68.678085,jack_out,10
150.21382,151.87291,77.32016,jack_out,10
146.91037,143.8914,66.825775,jack_out,10
159.16496,147.55023,59.024914,jack_out,10
139.45674,111.73695,68.76606,jack_out,10
139.04333,115.76629,69.78046,jack_out,10
163.34769,153.64514,68.20373,jack_out,10
158.3774,137.3744,70.05152,jack_out,10
158.96178,140.96298,67.09343,jack_out,10
159.70093,153.32413,73.15012,jack_out,10
158.53447,149.38249,70.59791,jack_out,10
148.0942,124.63693,67.14654,jack_out,10
140.40619,118.69973,55.840473,jack_out,10
144.38734,118.68681,67.20622,jack_out,10
138.44647,113.519325,71.80165,jack_out,10
147.91731,135.68748,63.905697,jack_out,10
158.951,127.97841,68.5678,jack_out,10
161.22406,128.85384,70.123146,jack_out,10
152.26447,129.92908,72.267395,jack_out,10
157.03543,135.80925,69.95462,jack_out,10
153.5895,127.888084,61.98017,jack_out,10
141.22896,116.479485,62.62675,jack_out,10
141.06807,110.2473,73.18103,jack_out,10
157.78197,139.18251,64.29396,jack_out,10
136.66415,114.734116,62.69892,jack_out,10
157.7526,152.91673,65.538574,jack_out,10
164.65446,159.62007,68.928665,jack_out,10
163.1333,158.21313,73.40112,jack_out,10
143.05707,128.35046,63.24822,jack_out,10
142.76245,114.74452,75.715935,jack_out,10
166.08176,113.99757,72.007965,jack_out,10
146.87129,125.78765,65.5621,jack_out,10
143.6372,119.060326,65.89621,jack_out,10
152.51399,144.85205,68.2458,jack_out,10
157.0884,146.80644,76.0943,jack_out,10
143.45349,129.59784,68.97095,jack_out,10
152.66763,132.78781,61.54878,jack_out,10
140.93939,120.992065,64.174385,jack_out,10
137.49965,130.06673,73.362854,jack_out,10
159.14899,139.018,72.16025,jack_out,10
160.02524,154.64337,72.670555,jack_out,10
152.95197,148.19702,75.25668,jack_out,10
151.48352,151.39264,75.38366,jack_out,10
137.00781,118.045425,68.3196,jack_out,10
153.66577,125.68856,69.31078,jack_out,10
138.66537,127.29748,72.680786,jack_out,10
145.99467,122.2851,73.78155,jack_out,10
154.77219,143.79305,72.55268,jack_out,10
151.74417,129.31454,66.175316,jack_out,10
147.08507,113.262146,69.18015,jack_out,10
29.763975,15.254469,14.765973,jack_in,11
